Products,Exporter name,Quantity (Lakhs),Location,State,Latitude,Longitude,Gmap link,Distance(in km),,
RICE,AJMI FLOUR MILL(I)P.LTD.,18.01713,"Erattupetta, Kottayam ",Kerala ,9.70046,76.785083,,,ccc@ajmifoods.com,8593846975
RICE POWDER,AJWA EXPORTING CO.,4.42551,"Ramanattukara, Kozhikode ",Kerala ,,,,,,9495620293
SPICES,AKAY NATURAL INGREDIENTS,11.36374,"Malaidumthuruthu, Ernakulam",Kerala ,10.077423,76.402023,,,info@akay-group.com,0484-2686113
TURMERIC POWDER,AKAY SPICES P.LTD.,35.62313,"Kurichilakodu, Ernakulam ",Kerala ,10.161205,76.501108,,,info@akay-group.com,0484-259 7888
COTTON GOODS,AKRUTHI APPARELS,5.49448,Tiruppur ,Tamil Nadu ,11.098951,77.288139,,,,0421-4330714
BANANA,AL AMEEN PLANTAIN MERCHANT,17.26141,"Palayam, Kozhikode ",Kerala ,11.2494938,75.7851016,,,,4952722668
FROZEN YELLOW TUNA,AL BADRA SEAFOODS P.LTD.,5.2493,"Kakkanad , Ernakulam ",Kerala ,10.003413,76.344727,,,albadrcsez13@gmail.com,4844034242
FROZEN YELLOW TUNA,AL MARINE PRODUCTS,1.2912,"Pallippuram, Cherthala",Kerala ,9.7734553,76.3632775,,,hr@almarineaviation.com,8291892207
RICE,ALEEZA EXPORTS&IMPORTS,1.27831,Perumbavoor,Kerala ,10.116848,76.473476,,,,9946100134
TEA,AL-GAYATHRI TRADING CO. P. LTD.,32.75458,Kochi ,Kerala ,10.005284,76.343369,,,,4844033313
SPARES,ALGO FLUID SYSEMS P.LTD.,6009,Gandhinagar,Gujarat ,23.531765,72.566221,,,sales@algopumps.com,9843029241
RUBBER MATS,ALLAKKAT INTERNATIONAL,1.45967,"Thumpoly,Alleppey",Kerala,9.58976,76.325389,,,info@allakkattinternational.com,9388177771
INSTANT COFFEE,ALLANASONS LTD.,45.70164,Mumbai,Maharashtra,18.998207,72.832716,,,,8048989101
RUBBER MATS,ALLEPPEY CO. LTD.,31.89816,"Pathirappally,Alappuzha",Kerala,9.50412,76.325568,,,alleppeyco@vsnl.com,
CASHEW KERNELS,ALPHONSA CASHEW INDUSTRIES,10.19626,"Puthur, Kollam",Kerala,9.046003,76.713533,,,info@alphonsacashew.com,9.20E+11
ALUMINIUM PRODUCTS,ALUCRAFT MANUFACTURING & MARKETING LLP ,3.56719,Perinthalmanna ,Kerala,10.97386,76.22562,,,,9.18E+11
FROZEN PAROTTA,AMALGAM FROZEN FOODS,2.69637,"Willingdon Island, Cochin",Kerala,9.963056,76.267,,,amalgam@amalgamfoods.in,9.15E+11
SURGICAL GLOVES,AMAZING RUBBER PRODUCTS P. LTD.,5.30386,Cochin ,Kerala,10.004873,76.341819,,,info@amazingglove.com,9.16E+11
COTTON YARN,AMBIKA COTTON MILLS LTD.,14.43076,Coimbatore ,Tamilnadu ,11.024534,76.956178,,,ambika@acmills.in,9.14E+11
COCONUTS,AMCON TRADING INTERNATIONAL,1.3742,"Kakkanad, Kochi",Kerala,,,,,sales@amcontradeindia.com,91985296666
RICE,ANANDHA MODERN RICE MILL,2.96094,Villupuram,Tamilnadu ,,,,,,9962543267
COIR PITH,ANAR COIR P.LTD.,4.77708,"Thoraipakkam, Chennai",Tamilnadu,,,,,satheesh@fiberdust.com,
UTENSIL,ANNA ALUMINIUM  COMPANY P.LTD.,6.6861,"Kizhakambalam , Ernakulam ",Kerala ,10.048928,76.411249,,,anna@annagroup.net,91-484 2680 700
SPICES,ANNA SPICES,1.3984,"Vadavucode , Puthencuriz ",Kerala,9.971279,76.42147,,,info@annaspices.com,91-6362095926
SOYA BARI,ANSAR OIL INDUSTRIES,2.6615,"Erumathala, Ernakulam ",Kerala ,10.089798,76.398508,,,,
COTTON GOODS,ANUGRAHA FASHION MILL P.LTD.,2.57663,"Karuvampalayam, Tiruppur

",Tamil Nadu ,11.094667,77.3391956,,,info@anugrahafashion.com,91-421 4301500
VALVES,ANUGRAHA VALVE CASTINGS LTD.,1.96337,Coimbatore ,Tamil Nadu ,11.0745267,77.1160284,,,anugraha@anugrahavalvecastings.com,91 – 422 – 2360124
PHARMACEUTICAL PRODUCTS,ANZEN EXPORTS,1.41439,Kolkata,West Bengal ,22.5246314,88.3521996,,,info@anzen.co.in,91-33 24549650
COCONUT PRODUCTS,APEX COCO&SOLAR ENERGY P;LTD.,4.56562,Tiruppur ,Tamil Nadu ,10.676594,77.4021437,,,hello@apexcoconuts.com,7397768883
TYRES/TUBES,APOLLO TYRES LTD.,206.49517,Gurugram,Haryana ,28.4434712,77.0418509,,,apolloquickservice@apollotyres.com,18002127070
CONNECTORS,APTIV CONNECTION SYSTEMS INDIA P.LTD.,5.29019,Mulanthuruthy Ernakulam,Kerala,9.893232,76.430625,,,manjusha.menon@aptiv.com,
PAPER BAGS,AQUA AND EARTH PAPER BAGS,2.54651,"Palavakam,Chennai", Tamilnadu ,,,,,paper@aquaearthpaperbags.com,9.20E+11
FROZEN SQUID,AQUA GENO EXIM,14.30007,"Aroor, Alappuzha ",Kerala ,9.863846,76.301332,,,info@aquagenoexim.in,9.15E+11
FROZEN SQUID,AQUASTAR MARINE FOODS,16.87051,"Valanjambalam,Cochin ",Kerala,9.96597,76.288736,,,sales@aquastarmexp.com,9.20E+11
RUBBER MATS,ARA MATS INTERNATIONAL,6.747,"Pallom, Kottayam",Kerala,9.502791,76.521699,,,info@aramats.com,9.15E+11
TYRE RETREADING MATERIALS,ARACKATHARA RECLAIMATIONS,21.83923,"Kurichy, Kottayam",Kerala,9.502147,76.52055,,,,4812322212
COTTON GOODS,ARAV CREATIONS,1.02924,"Andipalayam, Tirupur ",Tamilnadu ,,,,,mandarasalam@aravcreations.com,9.20E+11
FISH MEAL,ARBEE AQUATIC PROTEINS P.LTD.,29.16482,"Thalayolaparambu, Kottayam",Kerala,9.884171,76.296172,,,mail@arbeeaquatic.com,4829237430
TOOLS,ARIANE TOOLS & COMPONENTS,3.00489, Edamuttam,Kerala,10.367445,76.123501,,,sales@arianetools.in,9.17E+11
TURMERIC,ARJUNA NATURAL P. LTD.,3.00318,"Aluva, Ernakulam ",Kerala,10.112466,76.353967,,,mail@arjunanatural.com,9.15E+11
COTTON GOODS,ARMSTRONG KNITTING MILLS (P) LTD.,12.11288,Tirupur ,Tamilnadu ,11.134743,77.3181,,,akmindia@akm-india.com,9.14E+11
SPICES,AROMATIC  INGREDIENTS P.LTD.,1.10336,"Kolenchery, Ernakulam ",Kerala,9.999493,76.455022,,,info@plantlipids.com,9.15E+11
COIR PITH,ARULSIVA EXPORTERS,16.2076,Udumalpet,Tamil Nadu ,,,,,sales@arulsivaexports.com,9003434657
GRANITE SLABS\TILES,ARYAN GRANITE,1.34955,Madurai ,Tamil Nadu ,9.914875,78.239099,,,aryangraniteexports@gmail.com,9626819423
CASHEW KERNELS,ASIACOM (INDIA) PVT.LTD.,2.1875,"Mangad, Kollam ",Kerala ,,,,,asiacomindia@gmail.com,
FROZEN SQUID,ASIAN MARINE FOODS,4.93501,"Kochangadi, Ernakulam ",Kerala ,9.950309,76.260857,,,Info@asianmarinefoods.com,"0484-2225343,9995080014

 9037949516"
TEA,ASIAN TEA COMPANY PRIVATE LTD,14.04628,Kolkata ,West Bengal ,22.543602,88.360555,,,india@asianteagroup.com,3340441201
SURGICAL GLOVES,ASMA RUBBER PRODUCTS P. LTD.,3.9315,Kakanad Ernakulam ,Kerala ,10.004643,76.344715,,,info@asmaglove.com,9847050555
COIR YARN,ASPINWALL & CO. LTD.,6.53746,"Edapally, Kochi ",Kerala ,9.965362,76.265134,,,headoffice@aspinwall.in,0484-2725400
RICE,ASPIRARCH MARKET PLATFORM PVT LTD,11.34292,Mumbai ,Maharashtra ,19.080013,72.895832,,,,8655687096
FROZEN OCTOPUS,ASSA SEA FOODS,3.895,"Valanjavazhy, Ambalapuzha",Kerala ,9.39689,76.3471937,,,,9446383137
ROSEWOOD VENEERS,ASSOCIATED TRADERS,1.14883,"Panampilly Nagar, Kochi

",Kerala ,9.9583156,76.2960399,,,,9895156767
COTTON GOODS,ASTREA EXPORTS,1.13268,"Kathrikadavu, Kaloor, Kochi

",Kerala ,9.9841263,76.2968087,,,,9946450658
BUILDING MATERIALS,ASTRON CONCRETE PRODUCTS,5.80534,Vazhakkulam Aluva,Kerala ,10.0982149,76.4186276,,,astronspacers@gmail.com,9961918889
FROZEN SHRIMPS,ASVINI FISHERIES P.LTD.,7.07974,Bhimavaram,Andhra Pradesh ,16.5110363,81.5241893,,,,
FROZEN SQUID,ASWIN ASSOCIATES,21.76675,"Thoppumpady, Kochi,",Kerala ,9.9403714,76.2612842,,,,4842228543
PLYWOOD,ATHIRA PLYWOOD,12.347,Thodupuzha,Kerala ,9.8932456,76.7119734,,,athiraplywood@gmail.com,9447042260
DETERGENT POWDER,ATLANTIC CARE CHEMICALS,15.56112,Alappuzha ,Kerala ,9.455971,76.3330859,,,care@atlanticchemical.com,91-477-2267834
ALUMINIUM CASTINGS,AUDHE INDUSTRIES,1.24085,"Malumichampatti, Coimbatore ",Tamil Nadu ,10.9072581,77.0136965,,,info@audhe.com,0422-2412992
CAR SEAT COVER,AUTOFIT CAR INTERIORS P.LTD.,3.84425,"Koratty, Thrissur ",Kerala ,10.2718574,76.3558032,,,INFO@WELLFITINDIA.COM,9895105252
TEXTILE MACHINERY,AUTOTEX P.LTD.,1.89238,Coimbatore ,Tamil Nadu ,11.0449165,77.036223,,,info@autotex.net,91-422 4321515
FOOD STUFFS,AVA CHOLAYIL HEALTH CARE,4.27279,Chennai ,Tamil Nadu ,28.4407289,77.0635037,,,customercare@avacare.in,
COTTON GOODS,AVIRAM KNITTERS,2.87528,Tirupur ,Tamilnadu ,11.12148,77.339213,,,Kondasamy@aviramknitters.com,9.14E+11
FROZEN SQUID,AVLA NETTOS EXPORTS,31.80858,"Sakthikulangara, Kollam",Kerala,8.931755,76.546103,,,avlaexports@gmail.com,9.19E+11
TURMERIC POWDER,AVT MCCORMICK INGREDIENTS LTD.,154.79562,"Aluva, Kochi ",Kerala,10.098636,76.421359,,,mail@avtspice.com,9.15E+11
TEA,AVT NATURAL PRODUCTS LTD.,31.04793,"Vazhakulam, Aluva",Kerala ,10.099289,76.419761,,,latha.rajesh@avtspice.com,9.15E+11
RUBBER MATS,B.S.RUBBERS,6.88116,"Poovanthuruthu, Kottayam",Kerala,9.550384,76.526857,,,,91-9947441778
JUTE RUGS,BABU COIR WORKS,10.06202,"Thumpoly, Alappuzha ",Kerala,9.548549,76.31805,,,info@babucoir.com,9.15E+11
FROZEN SHRIMPS,BABY MARINE INTERNATIONAL,3.845,"Thoppumpady, Kochi",Kerala,9.931093,76.268803,,,seafood@babymarinegroup.com,9.15E+11
FROZEN SHRIMPS,BABY MARINE SARASS,1.18,Baikampady,Karnataka ,12.95818,74.823821,,,,
TURMERIC,BAFNA ENTERPRISES,13.75171,"Puthenthode , Cochin",Kerala,9.869651,76.26689,,,manish@bafnaenterprises.com,9.15E+11
FOOD STUFFS,BAKEMILL FOODS,1.29586,Irinjalakuda,Kerala ,10.315605,76.226275,,,,8592921000
WELDING ELECTRODES,BALAXI OVERSEAS P.LTD.,1.21065,Hyderabad ,Telangana ,,,,,accounts@balaxi.in,
RICE,BAMS CONDIMENTS IMPEX (P) LTD.,8.89932,Perumbavoor,Kerala ,10.144976,76.46272,,,,
COTTON YARN,BANNARI AMAN SPNG.MILLS LTD.,1.94736,Coimbatore ,Tamil Nadu ,11.027926,76.951735,,,shares@bannarimills.com,0422-2435555
FROZEN MARINE FOODS,BARAKA OVERSEAS TRADERS,10.18277,Mangaluru,Karnataka ,12.828188,74.835426,,,,8242467425
COTTON GOODS,BARAKATH GARMENTS(INDIA)P.LTD.,1.04688,Mettupalayam,Tamil Nadu ,11.057578,76.947591,,,,7373711184
VALVES,BARANI HYDRALICS  INDIA P.LTD.,1.98482,Kalapatti,Tamil Nadu ,11.083857,77.035698,,,,9842957026
RICE,BASCO FOODS (INDIA )PVT. LTD ,2.444,Kochi ,Kerala ,10.039815,76.351371,,,info@bascofoods.in,9809031122
FROZEN SQUID,BATHSHA MARINE EXPORTS,1.51,Kochi ,Kerala ,9.884012,76.296474,,,,9995406200
FISH OIL,BAWA FISH MEAL & OIL CO.,77.0082,Mangalore ,Karnataka ,12.956614,74.824547,,,mail@bawafishmeal.com,8048955465
WHISKY,BBM TRAVEL RETAIL LTD.,1.39886,Kakkanad ,Kerala ,10.003782,76.342711,,,sales@bbmbommidala.com,0484-241 3289
HYDRAULIC FITTINGS,BECELLI GECO HYDRAULICS INDIA P.LTD.,1.22785,Coimbatore ,Tamil Nadu ,10.979974,77.028094,,,,7971483142
CASHEW KERNELS,BEENA CASHEW CO.,2.7,Kadampanad,Kerala ,9.083175,76.68224,,, beenacas@gmail.com,
COIR MATS,BEENA COIR WORKS,1.4395,"Muhamma, Alleppey ",Kerala ,9.603487,76.354715,,,info@beenacoir.com,0478-2864721
FROZEN SQUID,BELL FOODS,12.70138,Kochi ,Kerala ,9.931292,76.263143,,,info@bellbrand.com,0484-223 1684
COIR PITH,BENNYS BIO COIR,2.475,Pollachi ,Tamil Nadu ,,,,,bennysbiocoir@gmail.com,9787660711
COTTON YARN,BEST CORPORATION LTD.,2.72599,"Padmavathipuram, Tiruppur ",Tamil Nadu ,11.1491766,77.3198096,,,best@bestcorp.in,91 - 421 - 456 0000
SURGICAL GLOVES,BETA HEALTH CARE PRODUCTS P.LTD.,6.23509,"Kakkanad,Kochi",Kerala ,10.0012912,76.3410226,,,boney@betahealthcare.com,9747000797
CASHEW KERNELS,BETHANYA CASHEW COMPANY,2.10876,"Enathu ,Puthoor",Kerala ,9.0554041,76.7361016,,,,
CASHEW KERNELS,BETHSAIDA CASHEW COMPANY,1.73644,Kollam,Kerala ,9.0490933,76.7175132,,,,4742416888
RICE,BFL EXPORT&MARKETING,1.23922,Thamarassery,Kerala ,11.4052651,75.9637038,,,,
TEA,BHANSALI & CO.,31.40732,Kolkata ,West Bengal ,22.5369758,88.3433463,,,manager@bhansaliandcompany.com,91-33-4062-6162
FROZEN MARINE FOODS,BHARATH SEAFOODS,1.249,Chandiroor,Kerala,9.8489005,76.3079634,,,,4782872220
RICE,BHARATHI FOODS,9.9881,Cheranalloor,Kerala ,10.037721,76.2733404,,,,9020785322
P.P.WOVEN BAGS,BIG BAG INTERNATIONAL P. LTD.,44.89525," Ganjimutt, Mangaluru",Karnataka ,12.9749421,74.9585608,,,info@bigbagsinternational.com,8242866400
CHEMICALS,BIO TREAT LAB,2.15,Agiripalle,Andhra Pradesh ,16.6475642,80.7247925,,,,8666668855
COIR PITH,BIOGROW SUBSTRATES INDIA,18.93968,Coimbatore ,Tamil Nadu ,10.994135,76.975373,,,contact@bio-grow.com,8489390333
TURMERIC/PEPPER,BIOWIN AGRO RESEARCH,10.86884,"Mananthavady, Wayanad ",Kerala ,11.825334,76.038131,,,biowinkerala@gmail.com,4935299500
CASHEW KERNELS,BISMI CASHEWS,6.85322,Mangad Kollam ,Kerala ,8.909649,76.619749,,,info@bismicashewcompany.com, 0474 - 2710966
RICE,BISMI EXPORTERS,1.51,"Veliancode, Malappuram ",Kerala ,10.735192,75.944618,,,,
RICE,BISMI TRADING COMPANY,14.35275,Muvattupuzha,Kerala ,9.992962,76.581803,,,info@bismitr.com,9447508321
VALVES,BLASTLINE  INDIA,1.12473,"Kaloor, Kochi",Kerala,10.006988,76.288286,,,info@blastlineindia.com,9.20E+11
COTTON GOODS,BLUE BREEZE ENTERPRISE,2.56061,Tirupur ,Tamilnadu ,11.116622,77.418811,,,balaji@bluebreeze.in,9.20E+11
RICE,BLUE LEAF TRADING COMPANY,2.0181,"Aluva, Ernakulam ",Kerala,10.082422,76.3487,,,info@blueleaftrading.com,9.19E+11
FROZEN SQUID,BLUE SEA (INDIA) EXPORTS,5.94884,"Thoppumpady, kochi",Kerala,,,,,cfoodmktg@gmail.com,9.10E+12
FROZEN YELLOW TUNA,BLUECREST FROZEN FOODS P.LTD.,4.58585,"Kaloor, Ernakulam ",Kerala,9.991482,76.292964,,,bluecrestfrozen@gmail.com,
FISH OIL,BLUELINE FOODS,100.60136,Mangalore,Karnataka ,12.869854,74.846176,,,info@bluelinefoods.in,9.18E+11
ARECANUT,BNS EXPORTS,1.11585,"Parappanangadi, Malappuram ",Kerala,,,,,,9497802023
PLUSH TOYS,BODYGEAR INTERNATIONAL(P)LTD.,7.74427,"Aluva, Ernakulam ",Kerala,10.082055,76.314668,,,joyki@genie-toys.com,
CASHEW KERNELS,BOLA RAGHAVENDRA KAMATH & SONS,2.16601,Karkala,Karnataka ,13.238847,74.983867,,,bola@bolacashew.com,9.18E+11
TEA,BOMBAY BURMAH TRADING CORPN.,8.52279,Mumbai,Maharashtra ,18.9371,72.833006,,,writetous@bbtcl.com,9.12E+11
PLYWOOD,BOMBAY PLYWOOD,1.681,"Kothamangalam, Ernakulam ",Kerala,10.090231,76.575588,,,bombayplywood786@gmail.com,9.20E+11
SPICES,BOS NATURAL FLAVORS P.LTD.,10.61983,Perumbavoor,Kerala,10.10724,76.475991,,,info@bosnatural.com,9.19E+11
COTTON GOODS,BOSE EXPORTS,3.38515,Tirupur ,Tamilnadu ,11.124335,77.327667,,,bosssiva@boseexports.com,9.14E+11
MILL INDUSTRIAL PRODUCTS,BRADKEN INDIA P.LTD.,21.51679,Coimbatore ,Tamilnadu ,10.937463,77.058714,,,nkrenjith@bradken.com,
RICE,BRAHMINS FOOD INDIA P.LTD.,24.91629,"Thodupuzha, Idukki",Kerala,9.906114,76.700565,,,ho@brahminsgroup.com,9.10E+12
AUTOMOBILES PARTS,BRAKES INDIA LTD.,1.64523,Chennai,Tamilnadu ,13.101691,80.190965,,,,9.10E+12
P.P.WOVEN BAGS,BRIGHTFLEXI INTERNATIONAL P.LTD.,2.8239,Mangalore , Karnataka ,12.947583,74.820007,,,administrator@akbansalgroup.com,9.11E+12
SILICON MANGANESE,BRINDAVAN AGENCIES P.LTD.,5.32,Newdelhi ,Delhi,,,,,accounts@brindavan.co.in,
P.P.WOVEN BAGS,BROCADE INDIA PLYTEX LTD.,10.46025,"Kanjikode, Palakkad ",Kerala,10.775988,76.784925,,,sales@brocadeIndia.in,9.20E+11
RUBBER MATS,BROS INDIA GROUP,3.65227,Alleppey,Kerala,9.622297,76.361007,,,brosindia@brosindia.com,9.15E+11
JUTE MATTING,BROTHERS COIR MILLS,27.4914,Alleppey,Kerala,9.622297,76.361007,,,brosindia@brosindia.com,9.15E+11
SAGO SEEDS,BSR OVERSEAS,3.6864,"Navi Mumbai, Thane",Maharashtra ,19.074369,73.008164,,,info@bsroverseas.com,9.20E+11
MACHINERIES,BULL MACHINES P. LTD,4.33564,"Trichy road, Coimbatore ",Tamilnadu ,11.009145,77.069253,,,sales@bullmachine.com,9.19E+11
RICE,BUSTHAN AL WATHANIYA,5.2782,"Cherthala,Alappuzha ",Kerala ,9.74469,76.357119,,,info@busthan.com,9.15E+11
FOOD STUFFS,BYRD FOOD INERNATIONAL LLP,1.10252,"Cherthala, Alappuzha ",Kerala,9.746535,76.353509,,,chitra.capricon@gmail.com,
ACTIVATED CARBON,C.G.CARBON INDIA P.LTD.,6.55775,Malappuram ,Kerala,11.059221,76.049915,,,marketing@cgcarbon.in,9.19E+11
PUMPS,C.R.I.PUMPS P.LTD.,3.18314,"Saravanampatti, Coimbatore ",Tamilnadu ,11.104123,77.00779,,,corp@cripumps.com,18001211243
RICE,CALIX COCO PRODUCTS,1.11425,Coimbatore ,Tamilnadu ,11.045492,77.037723,,,sales@calixcoco.com,9.20E+11
RICE,CALIX IMPEX,14.09352,"Texpark road, Coimbatore ",Tamilnadu ,11.043153,77.034399,,,caliximpex@yahoo.com,9.18E+11
FROZEN SHRIMPS,CANNAN MARINE PRODUCTS,2.61847,Kochi ,Kerala ,9.864006,76.299179,,,,
COTTON GOODS,CANNANORE HANDLOOM EXPORTS,3.64588,"Elayavoor, Kannur ",Kerala ,11.873367,75.396675,,,,0497-2726430
COTTON GOODS,CANTY GARMENTS,1.61261,Tiruppur ,Tamil Nadu ,11.125445,77.343984,,,info@cantygarments.com,0421-225 8392
FROZEN SQUID,CAP SEAFOODS P.LTD.,10.87603,"Vypin , Ernakulam ",Kerala ,9.977403,76.241839,,, abadcap@gmail.com,
FROZEN SQUID,CAPITHAN EXPORTING CO.,32.05975,Kollam ,Kerala ,8.93044,76.542093,,,, 0474 - 2770499
SILICON CARBIDE GRAINS,CARBORUNDUM UNIVERSAL LTD.,71.74726,Kochi ,Kerala ,10.046462,76.308103,,,salesemd@cumi.murugappa.com,0484-3023600
COTTON GOODS,CARLOO TEXTILE,1.38691,Tiruppur ,Tamil Nadu ,11.056958,77.339588,,,,0421-221 8299
BOOKS,CARNET BOOKS P..LTD.,1.98404,Ettumanoor,Kerala ,9.651834,76.549822,,,"info@carnetbooks.com

",9.19E+11
STEEL CASTINGS,CAST TECH P. LTD.,14.61258,Mumbai ,Maharashtra ,19.036357,72.842431,,,secretarial@kores-india.com,
COIR PITH,CAUVERY COCO PEAT P.LTD.,3.0849,Mahalingapuram,Tamil Nadu ,10.667877,77.010252,,,ptrfarms@gmail.com,
RUBBER MATS,CEAKAY INDUSTRIES,17.26492,Kottayam ,Kerala ,9.492396,76.552459,,,exports@ceakaygroup.com,9447080870
CASHEW KERNELS,CFC CASHEW,1.545,Kollam ,Kerala ,9.088914,76.530623,,,,9600074106
PLYWOOD,"CHACKOS PLYWOOD MILLS(P)LTD.,",4.55,Ernakulam ,Kerala ,10.042324,76.491711,,,,
TEA,CHAIZUP BEVERAGES LLP,6.00376,Kolkata ,West Bengal ,22.543292,88.353932,,,info@chaizup.com,9831830303
PLYWOOD,CHANDRIKA PLYWOODS,3.38714,Perumbavoor ,Kerala ,10.11693,76.444787,,,office@chandrikaplywoods.com,9349922363
JUTE MATTING,CHARANKATTU COIR MFG.CO.P.LTD.,5.20763,Cherthala ,Kerala ,9.606233,76.333728,,,cdathulraj@naturalworld.in,0478-2864601
FROZEN YELLOW TUNA,CHARLY FISHERIES,16.23207,Kollam ,Kerala ,8.937045,76.544931,,,charlyfisheries@gmail.com,7511113222
COIR PITH,CHATRESH IMPEX,2.584,Pollachi ,Tamil Nadu ,10.657552,77.004526,,,chatreshcoirs@gmail.com,9952200006
COCONUT OIL,CHEENU ENTERPRISES,3.17945,Coimbatore ,Tamil Nadu ,11.020992,76.998386,,,mail@example.com,9659455000
FROZEN SHRIMPS,CHERUKATTU INDUSTRIES,7.58625,Kochi ,Kerala ,9.870381,76.314225,,,,
RUBBER MATS,CHERUSSERIKALAM GROUP,14.07338,Kottayam ,Kerala ,9.499803,76.514315,,,sales@cherusserikalam.com,8848174262
PEANUT CANDY,CHINKU SWEETS,1.02266,Thalassery,Kerala ,11.810685,75.478153,,,chinkussweets@gmail.com,9947977630
